trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.9999500004166653}",25,0,-162.19545083675771,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.95, 'e': 0.9998000066665778}",20,0,-33.528190088540384,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.95, 'e': 0.9995500337489875}",25,0,-149.8783369901992,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.95, 'e': 0.9992001066609779}",20,0,-53.50555457144965,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.95, 'e': 0.9987502603949663}",20,2,-59.39124198479418,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.95, 'e': 0.9982005399352042}",20,0,-106.28840605793471,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.95, 'e': 0.9975510002532796}",25,3,-156.23488726347802,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 3}",1
8,False,"{'a': 0.95, 'e': 0.9968017063026194}",20,0,-104.05685032721291,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.9959527330119943}",20,0,-133.64663322447822,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.9950041652780257}",20,0,-71.89886016546313,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.9939560979566968}",30,0,-173.36717989894706,"{0: 14, 1: 2, 2: 10, 3: 4, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0.9928086358538663}",30,0,-103.50844782382693,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.95, 'e': 0.9915618937147881}",30,0,-188.5461361597747,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.95, 'e': 0.9902159962126371}",20,0,-182.01582929873888,"{0: 6, 1: 5, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.95, 'e': 0.9887710779360422}",20,0,-55.21719670787048,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.9872272833756269}",30,0,-167.28871217086132,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.95, 'e': 0.9855847669095608}",25,0,-143.44056367844354,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
18,False,"{'a': 0.95, 'e': 0.9838436927881214}",25,0,-155.42287583280284,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.95, 'e': 0.9820042351172703}",30,0,-186.56146529822075,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.95, 'e': 0.9800665778412416}",25,0,-93.18084988128646,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.95, 'e': 0.9780309147241483}",25,0,-101.41914619810194,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.95, 'e': 0.9758974493306055}",20,0,-91.60528304937722,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.95, 'e': 0.9736663950053749}",20,7,-21.040385245583636,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.9713379748520297}",25,9,-57.89629112855546,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 0}",1
25,False,"{'a': 0.95, 'e': 0.9689124217106447}",25,0,-123.72178200797164,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
26,False,"{'a': 0.95, 'e': 0.9663899781345132}",20,0,-105.11963605173896,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.95, 'e': 0.9637708963658905}",25,0,-182.3317377915018,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
28,False,"{'a': 0.95, 'e': 0.9610554383107709}",25,0,-103.3890922518606,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.95, 'e': 0.9582438755126972}",20,0,-101.34279466159308,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.95, 'e': 0.955336489125606}",20,0,-118.26908116998588,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.95, 'e': 0.9523335698857134}",25,0,-176.861209593774,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.95, 'e': 0.9492354180824408}",25,6,-173.21231540219983,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 3}",1
33,False,"{'a': 0.95, 'e': 0.946042343528387}",20,0,-45.35831597291584,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.95, 'e': 0.9427546655283462}",30,0,-196.5595831050506,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
35,False,"{'a': 0.95, 'e': 0.9393727128473789}",30,0,-29.004381583149442,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.95, 'e': 0.9358968236779348}",20,0,-60.819951248923914,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
37,False,"{'a': 0.95, 'e': 0.9323273456060345}",20,0,-148.05166004863992,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.95, 'e': 0.9286646355765102}",30,0,-237.29296434443353,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 5}",0
39,False,"{'a': 0.95, 'e': 0.9249090598573131}",35,0,-136.1417781537357,"{0: 26, 1: 5, 2: 1, 3: 0, 4: 3}",0
40,False,"{'a': 0.95, 'e': 0.9210609940028851}",25,0,-75.90409641563642,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
41,False,"{'a': 0.95, 'e': 0.9171208228166051}",25,0,-125.36850966953214,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
42,False,"{'a': 0.95, 'e': 0.9130889403123083}",20,0,-100.65282477281468,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
43,False,"{'a': 0.95, 'e': 0.9089657496748851}",25,0,-74.38755991542614,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
44,False,"{'a': 0.95, 'e': 0.9047516632199635}",35,0,-211.57356006712223,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
45,False,"{'a': 0.95, 'e': 0.9004471023526769}",20,6,-98.63658976668958,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
46,False,"{'a': 0.95, 'e': 0.8960524975255253}",25,0,-112.5816635590864,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
