trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.83951924687369,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.42174694255067,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.79513166885386,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-254.38776347997944,"{0: 18, 1: 2, 2: 2, 3: 4, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.76749944663345,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.3148435380561,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.92262484499992,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.13272048421901,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-230.67179367273886,"{0: 10, 1: 4, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.65086818601205,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.32804950489148,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.031748495206855,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.3134801360846,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.06811702414493,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.94292175289937,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.56605207334542,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.79881210691039,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-253.03118588152307,"{0: 13, 1: 7, 2: 5, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.38072655852812,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.46679038162065,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.25188666511565,"{0: 11, 1: 1, 2: 12, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.44114715812444,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-94.30917707036794,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.57372174017786,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.31253410358053,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.9515640473557,"{0: 15, 1: 2, 2: 3, 3: 5, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.80514810217344,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.0402795931851,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.52754721770611,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-190.03060689626687,"{0: 24, 1: 4, 2: 3, 3: 0, 4: 4}",0
